player1,player2,kills,deaths
1001,1002,4,1
1003,1004,1,2
1004,1005,3,1
1002,1006,5,0
1006,1007,1,2
1012,1013,8,2
1018,1019,3,7
1022,1021,6,0
1023,1024,6,0
1026,1025,4,0
1027,1023,1,7
1031,1032,3,1
1033,1032,4,0
1039,1040,13,14
1001,1042,20,0
1043,1044,2,1
1043,1018,9,0
1043,1001,3,0
1045,1028,20,0
1044,1018,6,1
1035,1050,30,4
1001,1052,11,18
1050,1001,2,5
1048,1050,10,5
1052,1053,6,3
1055,1054,7,0
1001,1055,6,0
1035,1053,5,8
1033,1055,3,0
1035,1054,3,0
1023,1056,5,0
1033,1058,2,6
1059,1060,8,2
1059,1062,6,1
1062,1056,2,1
1059,1033,1,2
1066,1063,4,0
1058,1062,3,0
1044,1063,3,0
1059,1067,3,13
1044,1056,3,1
1058,1068,4,0
1059,1052,6,31
1052,1062,6,1
1044,1060,4,2
1046,1062,3,0
1059,1050,11,6
1050,1052,2,2
1058,1050,3,1
1052,1067,3,1
1058,1052,8,4
1067,1050,3,2
1058,1004,7,0
1050,1042,30,14
1059,1042,20,3
1004,1062,3,0
1004,1069,7,0
1004,1057,2,1
1046,1069,7,0
1004,1059,27,13
1029,1069,8,0
1050,1069,3,0
1074,1059,3,0
1050,1075,3,0
1073,1050,4,4
1076,1077,5,4
1004,1060,5,4
1044,1069,3,1
1004,1044,2,1
1079,1077,3,0
1078,1082,3,0
1004,1076,4,2
1008,1053,3,5
1029,1076,2,1
1029,1060,6,0
1060,1086,3,1
1042,1060,10,4
1042,1086,2,1
1060,1079,2,2
1053,1046,2,1
1063,1086,2,4
1066,1086,1,2
1079,1042,4,2
1046,1042,3,0
1085,1066,2,1
1079,1006,7,2
1014,1042,3,1
1042,1044,2,3
1055,1053,1,3
1044,1054,3,0
1004,1014,17,8
1090,1044,2,1
1055,1004,3,2
1008,1002,2,6
1014,1008,1,2
1053,1039,8,10
1039,1008,10,3
1008,1008,3,0
1014,1055,6,4
1053,1025,6,0
1087,1053,3,0
1002,1007,4,0
1023,1018,7,9
1029,1099,3,3
1052,1100,3,1
1035,1052,2,5
1052,1082,2,1
1050,1082,4,0
1053,1032,2,1
1053,1101,2,3
1053,1057,3,0
1037,1053,2,2
1037,1103,5,0
1001,1053,2,1
1035,1001,1,2
1101,1001,2,3
1052,1057,3,0
1059,1001,4,2
1035,1044,3,2
1106,1107,3,0
1044,1046,3,0
1067,1107,13,1
1044,1106,3,0
1100,1044,1,2
1100,1035,2,1
1001,1023,3,0
1109,1059,4,0
1044,1109,3,0
