player1,player2,kills,deaths
1001,1002,8,5
1004,1005,3,1
1002,1006,5,0
1009,1008,5,0
1012,1013,8,2
1018,1019,3,7
1022,1021,6,0
1023,1024,6,0
1026,1025,4,0
1027,1023,1,7
1031,1032,3,1
1033,1032,4,0
1039,1040,47,24
1001,1042,20,0
1043,1018,12,0
1045,1028,21,0
1044,1018,6,1
1035,1050,35,4
1001,1052,12,19
1050,1001,4,17
1048,1050,10,5
1052,1048,4,0
1052,1053,6,3
1055,1054,7,0
1001,1055,6,0
1035,1053,5,8
1023,1056,5,0
1033,1058,2,6
1059,1060,10,2
1059,1062,6,1
1066,1063,4,0
1059,1067,4,14
1044,1056,3,1
1058,1068,4,0
1059,1052,15,51
1052,1062,6,1
1044,1060,4,2
1059,1050,12,6
1050,1052,4,4
1058,1050,3,1
1058,1059,6,1
1052,1067,5,2
1058,1052,8,4
1067,1050,5,5
1058,1004,7,0
1050,1042,37,14
1059,1042,26,3
1058,1069,5,0
1004,1069,10,0
1046,1069,7,0
1004,1059,27,14
1029,1069,8,0
1050,1069,7,0
1073,1050,4,4
1076,1077,5,6
1004,1060,6,4
1044,1069,3,1
1004,1076,4,2
1008,1053,4,7
1029,1060,6,0
1060,1086,3,2
1087,1069,7,0
1042,1060,11,5
1060,1079,2,2
1063,1086,2,4
1079,1042,4,2
1079,1006,7,2
1014,1042,3,1
1042,1044,2,3
1055,1053,1,3
1004,1014,17,8
1055,1004,3,2
1008,1002,2,6
1053,1039,8,11
1039,1008,17,7
1008,1008,4,0
1014,1055,13,5
1053,1025,6,0
1087,1053,6,2
1002,1007,4,0
1087,1002,1,3
1023,1018,7,9
1029,1099,3,3
1052,1100,5,4
1035,1082,8,0
1035,1052,7,12
1050,1082,4,2
1053,1101,2,3
1037,1053,2,2
1037,1103,12,0
1035,1001,1,4
1101,1001,2,3
1052,1057,4,0
1087,1001,4,1
1052,1087,11,3
1059,1001,5,3
1035,1044,3,2
1106,1107,4,0
1067,1107,14,1
1100,1035,2,3
1109,1059,4,0
1040,1001,19,12
1040,1052,12,7
1035,1018,6,1
1018,1052,3,11
1111,1052,13,5
1109,1040,3,8
1111,1040,7,9
1111,1035,10,7
1109,1048,5,1
1052,1109,15,16
1067,1109,10,10
1060,1028,4,1
1067,1028,5,1
1028,1109,1,4
1014,1028,12,0
1067,1053,1,9
1053,1109,7,3
1059,1113,6,1
1059,1091,3,2
1039,1006,65,26
1069,1107,28,0
1058,1006,7,1
1074,1006,6,0
1116,1045,4,6
1008,1074,2,5
1069,1053,1,3
1006,1067,6,10
1008,1006,53,83
1058,1008,4,0
1029,1067,5,2
1052,1065,3,4
1065,1004,2,2
1004,1073,2,2
1044,1008,4,0
1044,1055,9,1
1112,1003,2,2
1121,1054,4,0
1044,1003,7,4
1042,1108,4,0
1122,1003,3,1
1055,1003,7,13
1029,1003,4,1
1003,1039,5,9
1006,1124,15,4
1006,1006,4,0
1003,1073,4,0
1128,1015,4,0
1023,1042,5,2
1045,1052,2,2
1052,1028,5,0
1018,1110,7,5
1045,1014,9,2
1043,1035,2,2
1035,1101,1,3
1043,1101,5,2
1052,1043,7,6
1043,1112,4,0
1130,1014,4,1
1014,1060,26,5
1091,1014,1,6
1091,1055,4,1
1071,1113,5,1
1130,1044,5,0
1043,1132,7,0
1059,1055,12,4
1074,1055,5,1
1058,1055,19,3
1058,1060,8,0
1065,1055,6,4
1014,1077,8,0
1058,1077,2,2
1058,1043,5,1
1043,1091,5,0
1043,1055,17,2
1003,1077,1,3
1003,1043,2,7
1002,1039,5,0
1135,1136,2,6
1137,1106,2,2
1008,1067,6,2
1008,1124,10,1
1026,1018,12,0
1008,1145,5,0
1109,1145,6,0
1039,1109,5,1
1039,1035,4,0
1039,1018,7,2
1008,1018,8,5
1043,1008,9,3
1148,1044,1,4
1147,1044,2,3
1101,1149,1,4
1135,1044,2,2
1038,1109,10,1
1067,1149,6,6
1109,1055,7,0
1065,1006,4,1
1064,1055,4,2
1053,1058,1,5
1053,1060,6,2
1014,1076,4,1
1071,1121,3,2
1052,1014,4,2
1029,1121,9,0
1040,1040,7,0
1065,1059,6,4
1121,1032,2,6
1052,1029,4,1
1069,1109,1,3
1043,1039,9,9
1043,1040,8,0
1039,1158,3,2
1158,1079,2,3
1122,1079,8,1
1039,1029,5,1
1006,1003,7,19
1003,1008,15,8
1159,1039,1,7
1136,1003,16,3
1136,1018,20,7
1003,1018,4,4
1072,1003,4,0
1039,1136,2,3
1136,1006,6,0
1161,1162,4,0
1161,1163,4,0
1137,1055,6,1
1019,1166,4,0
1037,1055,5,5
1089,1145,4,0
1111,1100,6,0
1111,1109,7,0
1169,1154,3,1
1168,1004,1,5
1043,1168,4,0
1122,1146,4,0
1004,1035,7,4
1169,1055,4,0
1003,1038,3,4
1040,1003,4,2
1136,1004,2,2
1136,1008,4,0
1043,1136,3,4
